site_name,city,Monday Start Time,Monday End Time,Tuesday Start Time,Tuesday End Time,Wednesday Start Time,Wednesday End Time,Thursday Start Time,Thursday End Time,Friday Start Time,Friday End Time
Berkeley Arts Magnet,Berkeley,3:15pm,5:30pm,3:15pm,5:30pm,3:15pm,5:30pm,3:15pm,5:30pm,none,none
Cragmont Elementary,Berkeley,3:30pm,5:00pm,3:30pm,5:00pm,3:30pm,5:00pm,3:30pm,5:00pm,none,none
"Emerson Elementary, Berkeley",Berkeley,2:00pm,4:00pm,2:00pm,4:00pm,2:00pm,4:00pm,2:00pm,4:00pm,12:45pm,2:45pm
Jefferson Elementary,Berkeley,2:30pm,4:30pm,none,none,2:30pm,4:30pm,none,none,2:30pm,4:30pm
John Muir Elementary,Berkeley,2:30pm,4:30pm,2:30pm,4:30pm,2:30pm,4:30pm,2:30pm,4:30pm,2:30pm,4:30pm
LeConte Elementary School,Berkeley,2:30pm,5:30pm,2:30pm,5:30pm,2:30pm,5:30pm,2:30pm,5:30pm,none,none
Malcolm X Elementary School,Berkeley,3:30pm,5:00pm,3:30pm,5:00pm,3:30pm,5:00pm,3:30pm,5:00pm,none,none
Oxford Elementary,Berkeley,3:30pm,5:00pm,3:30pm,5:00pm,3:30pm,5:00pm,3:30pm,5:00pm,3:30pm,5:00pm
Rosa Parks ,Berkeley,1:10pm,3:10pm,1:10pm,3:10pm,none,none,1:10pm,3:10pm,12:40pm,2:40pm
Rosa Parks ,Berkeley,12:40pm,2:40pm,x,x,x,x,x,x,x,x
Thousand Oaks,Berkeley,2:45pm,4:15pm,2:45pm,4:15pm,2:45pm,4:15pm,2:45pm,4:15pm,none,none
Washington Elementary,Berkeley,2:30pm,4:30pm,2:30pm,4:30pm,1:30pm,3:30pm,2:30pm,4:30pm,2:30pm,3:30pm
Bahia School Age Program,Berkeley,4:00pm,6:00pm,4:00pm,6:00pm,4:00pm,6:00pm,4:00pm,6:00pm,4:00pm,6:00pm
Berkeley Maynard Academy,Oakland,3:30pm,5:15pm,3:10pm,5:15pm,none,none,3:10pm,5:15pm,1:00pm,1:00pm
Berkeley Youth Alternatives,Berkeley,3:00pm,6:00pm,3:00pm,6:00pm,2:00pm,6:00pm,3:00pm,6:00pm,3:00pm,6:00pm
"Emerson Elementary, Oakland",Oakland,3:30pm,5:00pm,3:30pm,5:00pm,3:30pm,5:00pm,3:30pm,5:00pm,none,none
Frances Albrier,Berkeley,2:30pm,5:00pm,2:30pm,5:00pm,1:30pm,5:00pm,2:30pm,5:00pm,none,none
Think College Now/International Community School,Oakland,3:00pm,5:00pm,3:00pm,5:00pm,1:15pm,5:00pm,3:00pm,5:00pm,none,none
James Kenney Recreation Center,Berkeley,3:00pm,5:00pm,none,none,3:00pm,5:00pm,none,none,3:00pm,5:00pm
"Martin Luther King, Jr. Elementary School",Oakland,3:00pm,5:30pm,3:00pm,5:30pm,3:00pm,5:30pm,3:00pm,5:30pm,none,none
Sankofa,Oakland,3:00pm,5:30pm,3:00pm,6:00pm,2:00pm,5:00pm,3:00pm,5:00pm,3:30pm,5:30pm
Young Adult Project,Berkeley,3:30pm,5:00pm,3:30pm,5:00pm,3:30pm,5:00pm,3:30pm,5:00pm,none,none
