site_name,city,Monday Start Time,Monday End Time,Tuesday Start Time,Tuesday End Time,Wednesday Start Time,Wednesday End Time,Thursday Start Time,Thursday End Time,Friday Start Time,Friday End Time
Berkeley Arts Magnet,Berkeley,15:15,17:30,15:15,17:30,15:15,17:30,15:15,17:30,none,none
Cragmont Elementary,Berkeley,15:30,17:00,15:30,17:00,15:30,17:00,15:30,17:00,none,none
"Emerson Elementary, Berkeley",Berkeley,14:00,16:00,14:00,16:00,14:00,16:00,14:00,16:00,12:45,14:45
Jefferson Elementary,Berkeley,14:30,16:30,none,none,14:30,16:30,none,none,14:30,16:30
John Muir Elementary,Berkeley,14:30,16:30,14:30,16:30,14:30,16:30,14:30,16:30,14:30,16:30
LeConte Elementary School,Berkeley,14:30,17:30,14:30,17:30,14:30,17:30,14:30,17:30,none,none
Malcolm X Elementary School,Berkeley,15:30,17:00,15:30,17:00,15:30,17:00,15:30,17:00,none,none
Oxford Elementary,Berkeley,15:30,17:00,15:30,17:00,15:30,17:00,15:30,17:00,15:30,17:00
Rosa Parks,Berkeley,13:10,15:10,13:10,15:10,none,none,13:10,15:10,12:40,14:40
Rosa Parks,Berkeley,12:40,14:40,x,x,x,x,x,x,x,x
Thousand Oaks,Berkeley,14:45,16:15,14:45,16:15,14:45,16:15,14:45,16:15,none,none
Washington Elementary,Berkeley,14:30,16:30,14:30,16:30,13:30,15:30,14:30,16:30,14:30,15:30
Bahia School Age Program,Berkeley,16:00,18:00,16:00,18:00,16:00,18:00,16:00,18:00,16:00,18:00
Berkeley Maynard Academy,Oakland,15:30,17:15,15:10,17:15,none,none,15:10,17:15,13:00,13:00
Berkeley Youth Alternatives,Berkeley,15:00,18:00,15:00,18:00,14:00,18:00,15:00,18:00,15:00,18:00
"Emerson Elementary, Oakland",Oakland,15:30,17:00,15:30,17:00,15:30,17:00,15:30,17:00,none,none
Frances Albrier,Berkeley,14:30,17:00,14:30,17:00,13:30,17:00,14:30,17:00,none,none
Think College Now/International Community School,Oakland,15:00,17:00,15:00,17:00,13:15,17:00,15:00,17:00,none,none
James Kenney Recreation Center,Berkeley,15:00,17:00,none,none,15:00,17:00,none,none,15:00,17:00
"Martin Luther King, Jr. Elementary School",Oakland,15:00,17:30,15:00,17:30,15:00,17:30,15:00,17:30,none,none
Sankofa,Oakland,15:00,17:30,15:00,18:00,14:00,17:00,15:00,17:00,15:30,17:30
Young Adult Project,Berkeley,15:30,17:00,15:30,17:00,15:30,17:00,15:30,17:00,none,none
